Model,DPO2024
Firmware Version,1.25

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-05,
Sample Interval,2e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,50,
Label,,
TIME,CH1,CH1 Peak Detect
-9.79920e-05,-9,-9
-9.79900e-05,-9,-9
-9.79880e-05,-7,-9
-9.79860e-05,-9,-7
-9.79840e-05,-9,-9
-9.79820e-05,-9,-9
-9.79800e-05,-9,-9
-9.79780e-05,-9,-7
-9.79760e-05,-9,-9
-9.79740e-05,-9,-7
-9.79720e-05,-9,-9
-9.79700e-05,-9,-7
-9.79680e-05,-9,-9
-9.79660e-05,-9,-9
-9.79640e-05,-9,-9
-9.79620e-05,-9,-9
-9.79600e-05,-9,-9
-9.79580e-05,-9,-9
-9.79560e-05,-9,-9
-9.79540e-05,-9,-9
-9.79520e-05,-9,-9
-9.79500e-05,-9,-9
-9.79480e-05,-9,-9
-9.79460e-05,-9,-9
-9.79440e-05,-9,-9
-9.79420e-05,-9,-9
-9.79400e-05,-9,-9
-9.79380e-05,-9,-9
-9.79360e-05,-9,-9
-9.79340e-05,-9,-7
-9.79320e-05,-9,-9
-9.79300e-05,-9,-9
-9.79280e-05,-9,-9
-9.79260e-05,-9,-7
-9.79240e-05,-9,-9
-9.79220e-05,-9,-7
-9.79200e-05,-9,-9
-9.79180e-05,-9,-9
-9.79160e-05,-9,-9
-9.79140e-05,-9,-9
-9.79120e-05,-9,-9
-9.79100e-05,-9,-7
-9.79080e-05,-9,-9
-9.79060e-05,-9,-7
-9.79040e-05,-9,-9
-9.79020e-05,-9,-7
-9.79000e-05,-9,-9
-9.78980e-05,-9,-7
-9.78960e-05,-9,-9
-9.78940e-05,-9,-7
-9.78920e-05,-9,-9
-9.78900e-05,-9,-7
-9.78880e-05,-9,-9
-9.78860e-05,-9,-7
-9.78840e-05,-7,-7
-9.78820e-05,-7,-7
-9.78800e-05,-7,-9
-9.78780e-05,-9,-7
-9.78760e-05,-9,-9
-9.78740e-05,-9,-9
-9.78720e-05,-9,-9
-9.78700e-05,-9,-7
-9.78680e-05,-7,-9
-9.78660e-05,-9,-7
-9.78640e-05,-9,-9
-9.78620e-05,-9,-7
-9.78600e-05,-7,-9
-9.78580e-05,-9,-7
-9.78560e-05,-7,-9
-9.78540e-05,-9,-7
-9.78520e-05,-9,-9
-9.78500e-05,-9,-9
-9.78480e-05,-9,-9
-9.78460e-05,-9,-7
-9.78440e-05,-9,-9
-9.78420e-05,-9,-7
-9.78400e-05,-9,-9
-9.78380e-05,-9,-9
-9.78360e-05,-9,-9
-9.78340e-05,-9,-9
-9.78320e-05,-9,-9
-9.78300e-05,-9,-7
-9.78280e-05,-9,-9
-9.78260e-05,-9,-9
-9.78240e-05,-9,-9
-9.78220e-05,-9,-9
-9.78200e-05,-7,-9
-9.78180e-05,-9,-7
